Hyper Real,主题1超真实
no mouth,表情7没画出嘴
>:(,表情8愤怒
crazy eyes,表情8疯狂的眼睛
streaming tears,表情8流泪
tsundere,表情8傲娇
long tongue,表情8长舌头
sideways mouth,表情8把嘴画在侧脸
raised eyebrow,表情8扬起的眉毛
gradient eyes,表情8渐变瞳色
shy,表情8害羞的
half closed eye,表情8半闭的眼睛(单眼)
cheek to cheek,表情8脸贴脸
flower shaped pupils,表情8花形瞳孔
scowl,表情8怒视/嫌弃/不满
heart in eye,表情8眼里冒爱心
thinking,表情8思考
gloom (expression),表情8消沉(表情)
covering eyes,表情8遮住眼睛
jealous,表情8嫉妒的
red sclera,表情8红色巩膜
sigh,表情8叹气
horizontal pupils,表情9一字型瞳孔/蛙眼
nervous smile,表情9不安地微笑
mouth drool,表情9嘴角画着口水滴形状的缺口
puckered lips,表情9撅起的嘴唇
screaming,表情9尖叫/大声喊
smelling,表情9闻
grimace,表情9(因痛苦、厌恶等)做怪相
cheek pinching,表情9捏脸颊
cheek poking,表情9戳脸颊
diamond shaped pupils,表情9钻石形瞳孔
happy tears,表情9开心的眼泪
doyagao,表情9得意脸
pain,表情9疼痛
confused,表情9疑惑
worried,表情9担忧的
unconscious,表情9失神
mismatched pupils,表情9左右眼颜色不同
crazy smile,表情9疯狂地笑
forehead to forehead,表情9额头贴额头
flustered,表情9慌乱的
dot mouth,表情10小圆点嘴
cheek bulge,表情10鼓着腮帮
disgust,表情10恶心
button eyes,表情10纽扣眼
fume,表情10气得冒烟(漫画)
blue sclera,表情10蓝色巩膜
bored,表情10无聊的
spit take,表情10惊讶或无语到喷了
rectangular mouth,表情10方形嘴
facepalm,表情10以手掩面
crazy,表情10疯狂的
holding breath,表情10憋气
excited,表情10兴奋
cephalopod eyes,表情10头足类动物的眼睛
cheek pull,表情10扯脸颊
x shaped pupils,表情10X 形眼睛
upturned eyes,表情10上翘的眼睛
green sclera,表情10绿色巩膜
evil,表情10邪恶
heart shaped eyes,表情10心形眼
fingersmile,表情11用手指做出笑脸
panicking,表情11恐慌的
rape face,表情11一副要强奸人的表情
hollow eyes,表情11漆黑的眼睛
determined,表情11有决心的
dashed eyes,表情11黑眼圈中的水平线
flower in mouth,表情11花在嘴里
sobbing,表情11啜泣
mismatched sclera,表情11左右眼不同颜色的眼白
eye reflection,表情11眼睛反射
cross eyed,表情11斗鸡眼
lonely,表情11孤独的
compound eyes,表情11复合眼
no sclera,表情11无色巩膜
depressed,表情11压抑的/郁闷的
bloodshot eyes,表情11布满血丝的眼睛
forced smile,表情11强迫笑
:c,表情11伤心
flaming eyes,表情11燃烧的眼睛
glasgow smile,表情11格拉斯哥微笑
sad smile,表情12苦笑
:<>,表情12张大嘴
pac man eyes,表情12吃豆人形眼
orange sclera,表情12橙色巩膜
bruised eye,表情12瘀伤的眼睛
despair,表情12绝望
color drain,表情12惊讶到掉色
frustrated,表情12沮丧
upset,表情12气愤
sulking,表情12闷闷不乐
disappointed,表情12失望的
horrified,表情12恐惧表情
stifled laugh,表情12憋笑
disdain,表情12蔑视
uwu,表情12猫脸
dilated pupils,表情12瞳孔扩张
envy,表情12嫉妒
\(^o^)/,表情12\(^o^)/
>3<,表情12亲嘴
pensive,表情12沉思的
troll,表情13嚣张脸
kubrick stare,表情13库布里克凝视头轻轻的微向下倾斜，眼直视镜头，直勾勾地盯着镜头。
amphibian eyes,表情13两栖动物的眼睛
guilt,表情13有罪的
mako eyes,表情13魔眼
> @,表情13>_@
aegyo sal,表情13眼袋
endured face,表情13忍耐的表情
shaded,表情13阴沉脸
smiley,表情13笑脸
full blush,表情13整张脸泛红
naughty,表情13下流的表情
chin grab,表情13抬下巴
expressionless eyes,表情13失神
wide eyed,表情13睁大眼睛
eyes closed,表情13闭眼
eyebrows behind hair,表情13挡在头发下的眉毛
eyebrows visible through hair,表情13透过头发可以看到的眉毛
tired,表情13累
=^=,表情13=^=
=v=,表情14=v=
amber eyes,表情14琥珀色眼
tattoo,装饰1纹身
buttons,装饰1纽扣
bandaid,装饰1创可贴
cuffs,装饰1手枷
sarong,装饰1莎笼/沙滩浴巾
shackles,装饰1宽手铐
handcuffs,装饰1警用手铐
cane,装饰1手杖
chains,装饰1锁链
gloves,装饰1手套
long sleeves,装饰1长袖
bow,装饰1蝴蝶结
bare shoulders,装饰1露双肩
collarbone,装饰1锁骨
detached sleeves,装饰1袖肩分离装
wings,装饰1翅膀/翼
open clothes,装饰1敞开衣服
elbow gloves,装饰1长袖手套
collared shirt,装饰1翻领衬衫
fingerless gloves,装饰1露指手套
off shoulder,装饰2露单肩
cape,装饰2披肩/斗篷/披风
mole,装饰2痣
vest,装饰2背心
bracelet,装饰2手镯
coat,装饰2外套
crop top,装饰2露腹短上衣
wrist cuffs,装饰2腕饰
sleeves past wrists,装饰2袖子长过手腕
dress shirt,装饰2西服衬衫
hoodie,装饰2卫衣
capelet,装饰2披肩
bandages,装饰2绷带
topless,装饰2上着较少
blazer,装饰2西装夹克
cardigan,装饰2开襟衫
bat wings,装饰2蝙蝠翅膀
tank top,装饰2无袖紧身背心
blouse,装饰2罩衫
casual,装饰2私服
t shirt,装饰3T 恤
wristband,装饰3腕带
armband,装饰3臂章
front tie top,装饰3从正面打结的衣物
hooded jacket,装饰3连帽夹克
cloak,装饰3斗篷
armlet,装饰3臂环
camisole,装饰3吊带背心
sleeves past fingers,装饰3袖子长过手指
black wings,装饰3黑色之翼
demon wings,装饰3恶魔之翼
high waist skirt,装饰3高腰裙
angel wings,装饰3天使的翅膀
robe,装饰3长袍
bandaged arm,装饰3缠着绷带的手臂
center opening,装饰3正中间开口的服装
lowleg,装饰3低胸装
labcoat,装饰3白大褂
hat flower,装饰3花环
criss cross halter,装饰3交叉吊带
fairy wings,装饰4妖精的翅膀
center frills,装饰4胸口带花边的服装
bangle,装饰4手镯
sailor shirt,装饰4水手服款衬衫
wet shirt,装饰4湿衬衫
bracer,装饰4护腕
layered sleeves,装饰4分层的衣袖
half gloves,装饰4很短的手套/半截手套
badge,装饰4徽章
hooded cloak,装饰4连帽披巾
faulds,装饰4腹甲
bead bracelet,装饰4珠子手链
harness,装饰4背带
heart cutout,装饰4衣服上有心形的开口
gym shirt,装饰4体操服(上身)
military jacket,装饰4军装夹克
hooded coat,装饰4连帽外套
detached wings,装饰4脱离本体的翅膀
unbuttoned shirt,装饰4解开纽扣的衬衫
butterfly wings,装饰4蝴蝶翅膀
cat cutout,装饰5猫咪内衣
cropped shirt,装饰5短衬衫
cat lingerie,装饰5猫系内衣
virgin killer sweater,装饰5处男杀手毛衣
sleeves pushed up,装饰5袖子往上拉起
command spell,装饰5令咒
dragon wings,装饰5龙翼
barcode,装饰5条形码
collared jacket,装饰5翻领夹克
arm belt,装饰5臂环
suit jacket,装饰5西装外套
open chest sweater,装饰5胸部开口的毛衣
pant suit,装饰5女性穿着西服
coattails,装饰5燕尾
heart tattoo,装饰5心形纹身
number tattoo,装饰5编号纹身
tailcoat,装饰5燕尾服
hooded cape,装饰5连帽斗篷
belly chain,装饰5脐链
bikini top removed,装饰5脱下比基尼上衣
hooded sweater,装饰6连帽毛衣
jersey,装饰6运动衫
cropped vest,装饰6小款背心
oversized shirt,装饰6过大号衬衫
gloves removed,装饰6脱下手套
latex gloves,装饰6乳胶手套
duffel coat,装饰6粗呢大衣
gathers,装饰6褶裥(衣物)
open robe,装饰6敞开长袍
kesa,装饰6袈裟
hooded track jacket,装饰6连帽运动夹克
load bearing vest,装饰6承重背心
heartbeat,装饰6心跳/表现出心动的文字
dudou,装饰6肚兜
diamond (gemstone),装饰6钻石(宝石)
clothes between breasts,装饰6衣服勒在乳沟里
heart lock (kantai collection),装饰6舰娘锁(舰C)
checkered shirt,装饰6格子衬衫
whip marks,装饰6鞭痕
muscle,装饰6肌肉
bandaged hands,装饰7缠着绷带的手
bikini top,装饰7比基尼上衣
sleeves folded up,装饰7叠起来的袖子
hair ornament,装饰7头饰
ribbon,装饰7丝带
jewelry,装饰7首饰
hair ribbon,装饰7发带
hair bow,装饰7蝴蝶结发饰
hairband,装饰7头箍
horns,装饰7兽角
hairclip,装饰7发夹
hair flower,装饰7发花
hood,装饰7兜帽
maid headdress,装饰7女仆头饰
mole under eye,装饰7眼角有痣
bell,装饰7铃铛
mask,装饰7面具/眼罩/口罩
witch hat,装饰7女巫帽
headphones,装饰7耳机
beret,装饰7贝雷帽
halo,装饰8头顶光环
eyepatch,装饰8单眼罩
sunglasses,装饰8太阳镜
hood down,装饰8放下的兜帽
crown,装饰8皇冠
tiara,装饰8三重冕
black hairband,装饰8黑色发带
x hair ornament,装饰8x发饰
hair bobbles,装饰8头绳
goggles,装饰8护目镜
demon horns,装饰8恶魔的角
peaked cap,装饰8类似警帽的帽子
tokin hat,装饰8东金帽子
mole under mouth,装饰8嘴角有痣/美人痣
eyewear on head,装饰8眼镜别在头上
hair scrunchie,装饰8发箍
santa hat,装饰8圣诞帽
hood up,装饰8戴起来的兜帽
dragon horns,装饰8龙角
goggles on head,装饰8头上别着护目镜
bespectacled,装饰9戴眼镜的
hairpin,装饰9发卡
white hairband,装饰9白色发带
star hair ornament,装饰9星星发饰
animal hood,装饰9兽耳头罩
hair bell,装饰9头发上系着铃铛
forehead mark,装饰9额前有图案
nurse cap,装饰9护士帽
hair tie,装饰9发带
sailor hat,装饰9水手帽
scar across eye,装饰9眼睛上的疤痕
mouth mask,装饰9口罩
blindfold,装饰9眼罩
frog hair ornament,装饰9青蛙发饰
heart hair ornament,装饰9心形发饰
red hairband,装饰9红色发带
butterfly hair ornament,装饰9蝴蝶发饰
food themed hair ornament,装饰9食物发饰
snake hair ornament,装饰9蛇发饰
mask on head,装饰9掀到头上的面具
lolita hairband,装饰10洛丽塔发带
crescent hair ornament,装饰10月牙发饰
feather hair ornament,装饰10羽毛头饰
facepaint,装饰10面纹
antlers,装饰10鹿角
head wreath,装饰10头上戴着花冠
blue hairband,装饰10蓝色发带
fox mask,装饰10狐狸面具
scar on cheek,装饰10脸颊上的疤痕
covered eyes,装饰10蒙住的眼
anchor hair ornament,装饰10锚发饰
leaf hair ornament,装饰10叶发饰
forehead jewel,装饰10额前有宝石
rimless eyewear,装饰10无框眼镜
mini top hat,装饰10迷你礼帽
bead necklace,装饰10珠子项链
skull hair ornament,装饰10骷髅头饰
forehead protector,装饰10护额
yellow hairband,装饰10黄色发带
pink hairband,装饰10粉色发带
elbow pads,装饰11护肘
fedora,装饰11软呢帽
bow hairband,装饰11蝴蝶结发带
surgical mask,装饰11医用口罩
cat hair ornament,装饰11猫头饰
mask removed,装饰11摘下的面具
musical note hair ornament,装饰11音符发饰
carrot hair ornament,装饰11胡萝卜发饰
purple hairband,装饰11紫色发带
wizard hat,装饰11法师帽
hair beads,装饰11发珠
bandage over one eye,装饰11缠着绷带的单眼
hairpods,装饰11头发上成对的像无线蓝牙的发饰
heart shaped eyewear,装饰11心形眼镜
multiple hair bows,装饰11多个蝴蝶结
bat hair ornament,装饰11蝙蝠发饰
bone hair ornament,装饰11骨发饰
gas mask,装饰11防毒面具
goggles on headwear,装饰11帽子上别着护目镜
orange hairband,装饰11橙色发带
kanzashi,装饰12簪子
snowflake hair ornament,装饰12雪花发饰
over rim eyewear,装饰12下半无框眼镜
whistle around neck,装饰12脖子上挂着口哨
clover hair ornament,装饰12三叶草发饰
winged helmet,装饰12带翅膀的头盔
mask pull,装饰12拉着口罩
fish hair ornament,装饰12鱼形发饰
mouth veil,装饰12面纱
coke bottle glasses,装饰12厚如玻璃瓶底的圆眼镜
jeweled branch of hourai,装饰12蓬莱玉枝
anchor choker,装饰12锚形项圈
tengu mask,装饰12天狗面具
behind the head headphones,装饰12从后脑戴上的耳机
flower on head,装饰12头上有花
kamina shades,装饰12卡米纳墨镜
head mounted display,装饰12戴着头戴显示设备
bandage on,装饰12贴有绷带的脸
bunny hair ornament,装饰12兔子头饰
skirt,装饰12裙子
navel,装饰13肚脐
panties,装饰13内裤
tail,装饰13尾巴
thighs,装饰13大腿
pleated skirt,装饰13百褶裙
shorts,装饰13短裤
barefoot,装饰13赤脚
midriff,装饰13腹部
belt,装饰13腰带
miniskirt,装饰13迷你裙
white panties,装饰13白色内裤
apron,装饰13围裙
zettai ryouiki,装饰13绝对领域
short shorts,装饰13热裤
bare legs,装饰13光腿
toes,装饰13脚趾
fox tail,装饰13狐狸尾巴
bottomless,装饰13下着较少
thick thighs,装饰13粗腿
pantyshot,装饰13内裤走光
thigh gap,装饰14股沟
panty pull,装饰14内裤拉下来
bike shorts,装饰14自行车短裤
pink panties,装饰14粉红内裤
striped panties,装饰14条纹内裤
hakama,装饰14袴/腿衣
side tie panties,装饰14系带式内裤
demon tail,装饰14恶魔尾巴
bow panties,装饰14带蝴蝶结的内裤
hakama skirt,装饰14袴裙
horse tail,装饰14马尾
panties under pantyhose,装饰14穿在裤袜里的内裤
thong,装饰14丁字裤
denim shorts,装饰14牛仔短裤
buruma,装饰14女式灯笼裤
dog tail,装饰14狗尾巴
jeans,装饰14牛仔裤
panties aside,装饰14内裤挪到一边
bloomers,装饰14灯笼裤
panties around one leg,装饰14一只脚上挂着内裤
anklet,装饰15脚镯
dragon tail,装饰15龙尾
highleg panties,装饰15高开衩的内裤
kneepits,装饰15膝盖内侧
covering crotch,装饰15遮着裆部
lace trimmed panties,装饰15蕾丝边内裤
greaves,装饰15胫甲
bandaged leg,装饰15绑着绷带的腿
cutoffs,装饰15热裤
fundoshi,装饰15日式丁字裤
lowleg panties,装饰15低腰式内裤
bandaid on leg,装饰15腿上的绷带
wet panties,装饰15湿内裤
panty & stocking with garterbelt,装饰15吊袜带内裤和长袜
jumpsuit,装饰15(尤指女式)连衫裤
leotard under clothes,装饰15内层穿着连衣裤
maebari,装饰15阴贴
bound legs,装饰15绑腿
leg tattoo,装饰15腿部纹身
checkered skirt,装饰15格子裙
skirt suit,装饰16正装短裙
trefoil,装饰16露出三角裤
butt plug,装饰16插入式尾巴
swimsuit aside,装饰16把泳衣的裆部挪到一边
capri pants,装饰16七分裤
gym shorts,装饰16体操短裤
leotard aside,装饰16把连衣裤裆部剥到一边
cat ear panties,装饰16猫耳造型内裤
g string,装饰16超细款丁字裤
skirt around one leg,装饰16一条腿上挂着短裙
crotchless panties,装饰16开档内裤
mechanical legs,装饰16机械腿
denim skirt,装饰16牛仔裙
ankle lace up,装饰16腿部系带
chaps,装饰16皮套裤
leg belt,装饰16腿带
leotard pull,装饰16剥开连衣裤
crotch plate,装饰16裆部有特别覆盖物
micro panties,装饰16布料很少的内裤
buruma pull,装饰16褪下一部分的内裤
back print panties,装饰17背面印花的内裤
diaper,装饰17尿布
thighhighs over pantyhose,装饰17连裤袜加长筒袜
lowleg pants,装饰17低腰裤子
strawberry panties,装饰17草莓内裤
black garter belt,装饰17黑色吊袜带
clothes between thighs,装饰17衣物挂到大腿之间
neck garter,装饰17吊袜带
front print panties,装饰17正面有图案的内裤
bear panties,装饰17熊印花内裤
panties over pantyhose,装饰17连裤袜上的内裤
pantyhose under swimsuit,装饰17泳衣下连裤袜
black garter straps,装饰17黑色吊袜带
white garter straps,装饰17白色吊袜带
ankle garter,装饰17脚踝吊袜带
socks over thighhighs,装饰17长筒袜加短袜
hips,装饰17臀部
foot,装饰17脚
girdling,装饰17束腰
legwear,装饰17裹腿
leg garter,装饰17腿部花边环
bikini bottom,装饰17比基尼泳裤
classroom,室内1教室
bedroom,室内1卧室
bathroom,室内1浴室场景
bathtub,室内1浴缸
kitchen,室内1厨房
library,室内1图书馆
stage,室内1舞台
locker room,室内1更衣室
office,室内1办公室
gym storeroom,室内1体育器材库房
gym,室内1健身房
messy room,室内1杂乱的房间
infirmary,室内1医务室
fitting room,室内1试衣间
dungeon,室内1地牢
closet,室内1壁橱
toilet stall,室内1厕所隔间
changing room,室内1更衣室
laboratory,室内1实验室
prison cell,室内1牢房
living room,室内2客厅
hotel room,室内2旅馆房间
otaku room,室内2御宅房
courtroom,室内2法庭
storage room,室内2储存室
dressing room,室内2更衣室
cubicle,室内2隔间
cafeteria,室内2自助餐厅
conservatory,室内2温室
workshop,室内2创意工坊
clubroom,室内2社团活动室
dining room,室内2家里的餐厅
armory,室内2军械库
staff room,室内2职员休息室
shower,室内2淋浴
city,室外1城市
road,室外1路
field,室外1田野
bridge,室外1桥
poolside,室外1泳池边
street,室外1街道
path,室外1小径
town,室外1城镇
railroad tracks,室外1铁轨
alley,室外1胡同/小巷
graveyard,室外1墓地
garden,室外1花园
crosswalk,室外1人行横道
ferris wheel,室外1摩天轮
fountain,室外1喷泉
pier,室外1码头
sidewalk,室外1人行道
dock,室外1码头
village,室外1村庄
railroad crossing,室外1铁路道口
rice paddy,室外2稻田
carousel,室外2旋转木马
rural,室外2田园
market stall,室外2市场摊位
amusement park,室外2游乐园
tunnel,室外2隧道
running track,室外2运行轨道
wheat field,室外2麦田
canal,室外2运河
harbor,室外2港口
market,室外2市场
stone walkway,室外2石制人行道
well,室外2出色地
phone booth,室外2电话亭
roller coaster,室外2过山车
dirt road,室外2泥路
highway,室外2高速公路
runway,室外2跑道
wooden bridge,室外2木桥
floating city,室外2浮动城堡
soccer field,室外3足球场
waterpark,室外3水上乐园
trench,室外3战壕
shipyard,室外3船厂
zoo,室外3动物园
aqueduct,室外3渡槽
rope bridge,室外3绳桥
dam,室外3大坝
jetty,室外3码头/栈桥
airfield,室外3飞机场
drydock,室外3旱坞
paper lantern,室外3灯笼
water,室外3水
ocean,室外3大海
beach,室外3海滩
nature,室外3大自然
forest,室外3森林/树
mountain,室外3山
river,室外3河流
flower field,室外3花田
waterfall,室外4瀑布
lake,室外4湖
shore,室外4海边
bamboo forest,室外4竹林
hill,室外4山丘
desert,室外4沙漠
cliff,室外4悬崖
cave,室外4洞穴
pond,室外4池塘
stream,室外4溪流
park,室外4公园
island,室外4岛
floating island,室外4浮岛
jungle,室外4丛林
volcano,室外4火山
meadow,室外4草甸
playground,室外4游乐场
canyon,室外4峡谷
wetland,室外4湿地
savannah,室外4稀树草原
parking lot,室外5停车场
ocean bottom,室外5海底
wasteland,室外5荒地
plain,室外5平原
oasis,室外5绿洲
glacier,室外5冰川
geyser,室外5喷泉
onsen,建筑1温泉
pool,建筑1水池
ruins,建筑1废墟
house,建筑1房子
castle,建筑1城堡
skyscraper,建筑1摩天大楼
tower,建筑1塔
school,建筑1学校竞赛泳衣
shop,建筑1商店
shrine,建筑1神社
rooftop,建筑1屋顶
restaurant,建筑1餐厅
church,建筑1教堂
train station,建筑1火车站
cafe,建筑1咖啡厅
stadium,建筑1体育场
clock tower,建筑1钟楼
bus stop,建筑1公交车站
aquarium,建筑1水族馆
convenience store,建筑1便利店
lighthouse,建筑2灯塔
windmill,建筑2风车
pagoda,建筑2宝塔
hospital,建筑2医院
apartment,建筑2公寓
temple,建筑2寺庙
prison,建筑2监狱
casino,建筑2赌场
hangar,建筑2机库
arcade,建筑2室内购物中心
movie theater,建筑2电影院
greenhouse,建筑2温室
bakery,建筑2面包店
factory,建筑2工厂
supermarket,建筑2超市
airport,建筑2飞机场
gazebo,建筑2凉亭
tavern,建筑2酒馆
treehouse,建筑2树屋
industrial,建筑2重工业
barn,建筑3谷仓
garage,建筑3车库
warehouse,建筑3仓库
hut,建筑3小屋
nightclub,建筑3夜店
arena,建筑3竞技场
theater,建筑3剧院
megastructure,建筑3巨型结构
floating castle,建筑3浮动城堡
bookstore,建筑3书店
mall,建筑3购物中心
convention,建筑3售卖现场
construction site,建筑3施工现场
flower shop,建筑3花店
museum,建筑3博物馆
gas station,建筑3加油站
bell tower,建筑3钟楼
hotel,建筑3酒店
izakaya,建筑3居酒屋
skating rink,建筑3滑冰场
shack,建筑4小屋
space elevator,建筑4轨道电梯
planetarium,建筑4天文馆
bowling alley,建筑4保龄球馆
military base,建筑4军事基地
observatory,建筑4天文台
stilt house,建筑4高跷屋
art gallery,建筑4美术馆
weapon shop,建筑4武器商店
bunker,建筑4掩体/地堡
control tower,建筑4控制塔
cooling tower,建筑4冷却塔
minaret,建筑4宣礼塔
pharmacy,建筑4药店
nuclear powerplant,建筑4核电厂
refinery,建筑4精炼厂
mosque,建筑4清真寺
powerplant,建筑4发电厂
salon,建筑4沙龙
guard tower,建筑4守卫塔
amphitheater,建筑5音乐剧院
bar,建筑5酒吧
building,建筑5建筑
cityscape,建筑5城市风景
neon lights,建筑5霓虹灯
skyscrapers,建筑5摩天大楼
fences,建筑5栏杆
flower,花1花
petals,花1花瓣
rose,花1玫瑰/蔷薇
floral print,花1花朵图案(印花)
plant,花1植物
cherry blossoms,花1樱花
red rose,花1红玫瑰
bouquet,花1花束
sunflower,花1向日葵
potted plant,花1盆栽
hibiscus,花1扶桑花
blue rose,花1蓝玫瑰
white rose,花1白玫瑰
pink rose,花1粉红玫瑰
hydrangea,花1紫阳花
rose petals,花1玫瑰花瓣
clover,花1三叶草
spider lily,花1彼岸花
purple rose,花1紫玫瑰
lily pad,花1睡莲
yellow rose,花2黄玫瑰
lotus,花2莲花
plum blossoms,花2梅花
flower (symbol),花2花(符号)
black rose,花2黑玫瑰
wreath,花2花环
daisy,花2雏菊
wisteria,花2紫藤
lily of the valley,花2铃兰
camellia,花2山茶花
tulip,花2郁金香
petals on liquid,花2水面上漂着花瓣
morning glory,花2牵牛花
dandelion,花2蒲公英
flower bracelet,花2花手镯
chrysanthemum,花2菊属
orange rose,花2橙玫瑰
qingxin flower,花2清心 (原神)
green rose,花2绿色玫瑰
hanafuda,花2花札
plumeria,花3缅栀花
flower on liquid,花3水上的花
carnation,花3康乃馨
flower bed,花3花床
strawberry blossoms,花3草莓花
grey rose,花3灰色玫瑰
glaze lily,花3琉璃百合 (原神)
water lily flower,花3睡莲科
gardening,花3园艺
pansy,花3三色紫罗兰/三色堇
orchid,花3兰科/兰花/胡姬花
daffodil,花3水仙
poinsettia,花3一品红/圣诞红/圣诞花
bellflower,花3风铃草
lunar tear,花3月之泪 (尼尔)
silent princess,花3静谧公主 (塞尔达)
on flower,花3在花上
brown rose,花3棕色玫瑰
fire flower,花3烈焰花 (原神)
rapeseed blossoms,花3欧洲油菜花
flower trim,花4花饰
calla lily,花4马蹄莲
red carnation,花4红色康乃馨
chinese bellflower,花4桔梗
gerbera,花4大丁草属
osmanthus,花4木樨属/木犀属/桂花属/桂花树属
marigold,花4万寿菊属
dahlia,花4大丽花
baby's breath,花4石头花
multicolored rose,花4多色玫瑰
magnolia,花4荷花玉兰/洋玉兰/广玉兰
epiphyllum,花4昙花
lilac,花4丁香属
bird of paradise flower,花4鹤望兰
anthurium,花4花烛
trumpet creeper,花4厚萼凌霄
hollyhock,花4蜀葵属
hyacinth,花4风信子
gracidea,花4葛拉西蒂亚花 (宝可梦)
peach blossom,花4桃花
orange blossoms,花5橙花
sweet flower,花5甜甜花 (原神)
chamomile,花5西洋甘菊
ice flower,花5冰雾花 (原神)
mimosa (flower),花5含羞草
fuchsia,花5倒挂金钟
tiger lily,花5卷丹
thistle,花5蓟属
cornflower,花5矢车菊
gladiolus,花5唐菖蒲属
petunia (flower),花5碧冬茄属
ranunculus,花5毛茛属
geranium,花5天竺葵属
gold osmanthus,花5金木犀
dianthus,花5石竹
passion flower,花5西番莲属
pomegranate flower,花5石榴花
bougainvillea,花5九重葛
coughing flowers,花5咳出花
foxglove,花5毛地黄
gentiana (flower),花6龙胆属
edelweiss,花6高山火绒草
snowdrop,花6雪花莲属
spathiphyllum,花6白鹤芋属
zinnia,花6百日菊属
cosmos,花6秋英/大波斯菊/秋樱
oncidium,花6文心兰属
rhododendron,花6杜鹃花属/映山红/满山红/山石榴
gloriosa (flower),花6嘉兰
oleander,花6夹竹桃
alstroemeria (flower),花6百合水仙
amaryllis (flower),花6孤挺花
cymbidium,花6蕙兰属
eustoma,花6洋桔梗
forsythia,花6连翘
heliconia,花6蝎尾蕉
kerria japonica,花6棣棠花/山吹
rudbeckia,花6金光菊
columbine,花6耬斗菜
cockscomb (flower),花6青葙
black lotus,花7黑莲花
angel's trumpet,花7木曼陀罗
four o'clock (flower),花7紫茉莉
nigella,花7黑种草
portulaca,花7马齿苋
buttercup,花7花毛茛
begonia,花7秋海棠
blueberry blossoms,花7蓝莓花
forget me not,花7勿忘草
genista (flower),花7染料木属
grass lily,花7伞花虎眼万年青
dusty miller,花7银叶菊
freesia,花7小苍兰
kalanchoe,花7长寿花/家乐花/矮生伽蓝菜/圣诞伽蓝菜/寿星花/布洛斯费尔德高凉菜
potato flower,花7土豆花
wolfsbane,花7乌头属
black eyed susan,花7黑心金光菊
clivia,花7君子兰
crocus,花7番紅花
dipsacaceae,花7川续断科
great burnet,花8地榆
lisianthus (flower),花8洋桔梗属
paulownia,花8毛泡桐
snapdragon,花8金鱼草
wax flower,花8风蜡花属
dimorphotheca,花8异果菊
hawthorn (plant),花8山楂
hellebore,花8铁筷子/嚏根草
lantana (flower),花8马缨丹属
marsh marigold,花8驴蹄草/驴蹄菜/沼泽金盏花/立金花
gourd blossom,花8葫芦花 (辐射76)
pentas (flower),花8五星花属/繁星花属
periwinkle,花8蔓长春花属
pieris japonica,花8马醉木
potentilla,花8委陵菜属
flowers meadows,花8花田
anemone,花8银莲花
azalea,花8杜鹃花
bleeding heart,花8荷包牡丹
chinese lantern (plant),花8灯笼草
clematis,花9铁线莲
flax,花9亚麻
jasmine,花9素馨属/素英属/茉莉花
iris,花9鸢尾属
larkspur,花9翠雀属
lavender,花9薰衣草
lily,花9百合属
moonflower,花9月光花/嫦娥奔月/天茄儿/天茄子/夜颜/夕颜
nemophila,花9粉蝶花属/喜林草属/幌菊属
peony,花9芍药属
perennial,花9多年生植物
poppy,花9罂粟
rafflesia,花9大花草属
red ginger,花9红姜花
reimu,花9灵梦花
violet,花9堇菜属
silk flower,花9霓裳花 (原神)
sky,天空1天空
day,天空1白天
cloud,天空1云
night,天空1夜晚
moon,天空1月亮
night sky,天空1夜空
full moon,天空1满月
starry sky,天空1星空
rain,天空1下雨
sunset,天空1落日
sun,天空1太阳
shooting star,天空1流星
moonlight,天空1月光
dusk,天空1黄昏
sunburst background,天空1旭日纹背景
skyline,天空1天际线
blue moon,天空1蓝月
rainy days,天空1雨天
beautiful detailed sky,天空1漂亮的天空
in spring,天空1春
in summer,天空2夏
in autumn,天空2秋
in winter,天空2冬
stars,天空2星星
cloudy,天空2多云
in the rain,天空2雨中
simple background,背景1简单背景/无背景
white background,背景1白色背景
outdoors,背景1户外
indoors,背景1室内
gradient background,背景1渐变的背景
transparent background,背景1透明背景
christmas,背景1圣诞节
halloween,背景1万圣节
science fiction,背景1科幻
valentine,背景1情人节
magic circle,背景1魔法阵
landscape,背景1风景
pentagram,背景1五角星
feather,背景1场景飘羽毛
beautiful detailed water,背景1漂亮的水
feet out of frame,构图1脚部脱框
border,构图1边框
letterboxed,构图1宽银幕格式
out of frame,构图1脱框
outside border,构图1一部分画到了背景框外面
zoom layer,构图1人物立绘缩放(剪影)图层
head out of frame,构图1头部脱框
tachi e,构图1立绘样式
reference sheet,构图1设定图
afterimage,构图1残像
cropped,构图1遭到裁剪
framed,构图1画框
lineup,构图1一排人
viewfinder,构图1相机取景框
collage,构图1拼贴画
pillarboxed,构图1柱状画布背景
symmetry,构图1左右对称
column lineup,构图1小图拼接
chart,构图1图表
projected inset,构图1类似海报或杂志的插图效果
rotational symmetry,构图2对称旋转/《少女革命》女同转圈圈
glitch,构图2画面噪点
partially underwater shot,构图2部分水下拍摄
rounded corners,构图2背景或画框是圆角
stats,构图2属性栏/状态表
negative space,构图2大量留白
isometric,构图2等轴图
diagram,构图2图表
bust chart,构图2胸围图
relationship graph,构图2关系表
omake,构图2附图
trim marks,构图2裁剪标记
fading border,构图2褪色边框
polar opposites,构图2两极对称
character chart,构图2人设图
fake scrollbar,构图2假的滚动条
